Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-7147.69	-7559.104	411.4136	1.588458	4.9192	4.406096
6	-7150.164	-7562.672	412.5071	1.641026	4.99853	3.739944
12	-7146.437	-7558.539	412.1022	1.535711	3.800369	4.245903
18	-7139.901	-7551.714	411.813	1.426501	3.596812	4.512063
24	-7138.012	-7549.563	411.5506	1.455975	3.870363	4.588159
30	-7129.724	-7540.146	410.4215	1.374204	3.243614	5.390427
36	-7149.653	-7559.719	410.0663	1.357204	3.70045	5.500261
42	-7147.84	-7557.974	410.1334	1.307933	3.822826	5.466641
48	-7136.163	-7546.258	410.0953	1.31519	3.699433	5.507634
54	-7137.134	-7545.87	408.7363	1.330014	3.454181	6.29145
60	-7132.152	-7540.002	407.85	1.332515	4.258608	6.618896
66	-7135.3	-7543.94	408.64	1.28112	4.258608	6.218387
72	-7127.929	-7538.674	410.7448	1.424741	4.258608	4.983462
78	-7134.529	-7546.283	411.7548	1.482345	4.036152	4.426817
84	-7133.892	-7544.385	410.4929	1.417666	4.286587	5.122214
90	-7126.038	-7537.942	411.9042	1.602501	3.786325	4.32301
96	-7123.023	-7535.849	412.8254	1.69951	3.652316	3.769278
102	-7126.475	-7538.201	411.7259	1.53727	3.681892	4.481354
108	-7130.989	-7542.008	411.0193	1.618837	4.094303	4.752115
114	-7141.941	-7553.455	411.5137	1.563502	4.25422	4.476728
120	-7121.587	-7533.343	411.7558	1.686454	3.940665	4.32921
126	-7130.186	-7543.445	413.2585	1.557951	3.677695	3.595294
132	-7147.076	-7558.986	411.9107	1.417375	3.146987	4.560148
138	-7155.092	-7567.25	412.1579	1.462252	3.422727	4.334224
144	-7134.127	-7545.092	410.9645	1.316836	3.422727	5.083332
150	-7152.027	-7563.448	411.4207	1.499629	4.212502	4.57244
156	-7145.877	-7556.975	411.0979	1.505554	4.212502	4.749896
162	-7142.5	-7553.578	411.0781	1.492581	4.428326	4.730066
168	-7155.649	-7567.621	411.972	1.492581	4.526363	4.209824
174	-7139.687	-7551.269	411.5828	1.565472	4.091273	4.466557
180	-7135.954	-7548.194	412.2399	1.508445	4.091273	4.126982
186	-7133.708	-7545.028	411.3197	1.482626	4.242614	4.633195
192	-7145.198	-7556.677	411.4798	1.470497	4.390778	4.523847
198	-7152.541	-7561.999	409.4581	1.363025	3.802619	5.810797
204	-7140.551	-7552.085	411.5338	1.400053	3.822684	4.638259
210	-7123.031	-7534.801	411.7704	1.400053	3.741302	4.521528
216	-7127.817	-7539.274	411.4564	1.424903	3.734965	4.68501
222	-7122.956	-7536.239	413.283	1.672368	4.171844	3.415645
228	-7115.561	-7528.483	412.9212	1.589692	4.529896	3.609151
234	-7115.73	-7529.244	413.5137	1.709953	4.307129	3.232199
240	-7125.085	-7537.909	412.8236	1.847827	4.198741	3.57627
246	-7108.468	-7521.798	413.3298	1.630972	4.183009	3.410398
252	-7116.813	-7530.144	413.3304	1.630351	4.183009	3.410398
258	-7118.454	-7530.497	412.0428	1.607409	3.92787	4.213907
264	-7118.929	-7531.787	412.8578	1.705837	3.753864	3.725921
270	-7130.675	-7543.33	412.6553	1.598131	4.664527	3.734759
276	-7141.365	-7553.685	412.3201	1.643629	4.382876	3.950588
282	-7134.396	-7546.823	412.4269	1.536835	4.382876	3.950588
288	-7121.112	-7533.448	412.336	1.531381	3.764751	4.12276
294	-7136.117	-7549.014	412.8963	1.525986	3.849043	3.788239
300	-7138.457	-7549.281	410.8234	1.503028	3.913117	4.959846
306	-7142.105	-7553.411	411.3064	1.490577	3.914415	4.697126
312	-7131.941	-7542.629	410.6888	1.437689	4.161395	5.024818
318	-7124.958	-7536.411	411.4535	1.492845	4.001563	4.596856
324	-7127.77	-7539.446	411.6755	1.542816	3.955246	4.452799
330	-7137.193	-7548.347	411.1538	1.428939	3.876602	4.82408
336	-7123.94	-7535.055	411.1154	1.487028	3.819922	4.82408
342	-7125.208	-7537.032	411.8234	1.595866	4.13364	4.305745
348	-7130.205	-7540.728	410.5224	1.424674	3.717906	5.208085
354	-7129.68	-7540.959	411.2792	1.59567	4.501069	4.547067
360	-7116.845	-7528.242	411.3974	1.546835	3.79686	4.637496
366	-7123.443	-7533.964	410.5202	1.395771	3.811561	5.206942
372	-7125.227	-7534.45	409.2229	1.391401	4.00491	5.885888
378	-7132.286	-7539.696	407.4091	1.261917	4.013784	6.938298
384	-7139.155	-7549.649	410.4947	1.347455	4.013784	5.209461
390	-7134.151	-7544.518	410.3675	1.388617	4.276626	5.209461
396	-7129.373	-7539.292	409.9188	1.368161	3.938112	5.52968
402	-7141.576	-7553.108	411.5323	1.386987	3.346981	4.744477
408	-7131.549	-7542.285	410.7354	1.452758	3.38386	5.143225
414	-7127.079	-7538.06	410.9816	1.530331	3.561117	4.926349
420	-7137.016	-7547.727	410.7112	1.429908	3.557369	5.132967
426	-7131.393	-7541.165	409.7718	1.375822	3.43601	5.705389
432	-7113.202	-7522.369	409.1676	1.333615	3.909101	5.965413
438	-7122.074	-7532.797	410.7229	1.391908	3.942274	5.071806
444	-7139.669	-7550.996	411.3272	1.425172	3.871076	4.730384
450	-7147.719	-7559.431	411.7117	1.451105	3.514488	4.572295
456	-7141.28	-7552.934	411.6546	1.50217	3.525906	4.573298
462	-7134.278	-7545.701	411.4228	1.50217	3.666433	4.674305
468	-7134.948	-7546.419	411.4715	1.492707	3.713259	4.642909
474	-7134.059	-7545.676	411.6168	1.495282	3.813301	4.54005
480	-7127.015	-7537.725	410.7098	1.495282	4.406257	4.937782
486	-7132.096	-7542.838	410.7425	1.495282	3.468194	5.097921
492	-7126.103	-7536.673	410.5697	1.47359	4.014584	5.097921
498	-7128.13	-7538.28	410.1499	1.423363	4.014584	5.357776
504	-7144.803	-7555.971	411.1684	1.337434	3.219061	5.002984
510	-7151.624	-7562.542	410.9181	1.299993	3.698043	5.061884
516	-7137.612	-7548.876	411.2648	1.542409	3.460012	4.782841
522	-7148.465	-7561.798	413.3336	1.510687	4.005542	3.512716
528	-7140.576	-7553.721	413.1451	1.575717	3.803282	3.624888
534	-7132.038	-7544.862	412.8234	1.596301	3.939938	3.77168
540	-7132.934	-7544.863	411.9291	1.493113	3.413047	4.448002
546	-7126.096	-7537.791	411.6948	1.386284	3.412918	4.639658
552	-7135.046	-7545.968	410.9218	1.451447	4.105665	4.897752
558	-7136.268	-7548.296	412.0278	1.487489	3.983014	4.27975
564	-7136.205	-7548.594	412.3885	1.34536	3.547685	4.243218
570	-7141.153	-7552.468	411.3147	1.451872	3.378706	4.822851
576	-7141.246	-7553.553	412.3065	1.475677	3.921589	4.14019
582	-7130.402	-7542.366	411.9637	1.420071	3.41759	4.468638
588	-7135.567	-7547.012	411.4447	1.423428	3.56279	4.72733
594	-7140.749	-7550.673	409.9237	1.354023	3.645871	5.591231
600	-7130.45	-7540.46	410.01	1.315537	3.513751	5.59167
606	-7149.597	-7561.481	411.8839	1.448741	3.52615	4.474386
612	-7141.656	-7554.334	412.6781	1.514869	3.697445	3.950615
618	-7141.728	-7554.234	412.5059	1.595946	3.958704	3.950615
624	-7138.091	-7550.535	412.4442	1.652771	3.737882	3.997241
630	-7135.766	-7548.28	412.5145	1.594003	3.474403	4.0458
636	-7138.616	-7549.889	411.2735	1.435777	3.531725	4.822453
642	-7144.705	-7556.306	411.6011	1.488241	4.583082	4.412363
648	-7137.829	-7550.129	412.2998	1.588388	3.885078	4.086996
654	-7132.619	-7543.917	411.298	1.445997	3.898979	4.729737
660	-7129.283	-7540.57	411.2867	1.458365	4.065501	4.697667
666	-7141.775	-7552.038	410.2635	1.432466	3.773995	5.335765
672	-7143.181	-7553.734	410.5537	1.355332	3.824337	5.208305
